NRBTS_Name,LNBTS_Name,DN,ALARM_TIME,CANCEL_TIME,ALARM_NUMBER,TEXT,SUPPLEMENTARY_INFO
BCA.Terminal,BCA.Terminal,PLMN-PLMN/MRBTS-5011/LNBTS-5011,2024-02-13 20:09:02,,7111,BASE STATION SOFTWARE MANAGEMENT PROBLEM,Inter eNB SW inconsistency in between cluster members
CAL.Inmaculada,CAL.Inmaculada,PLMN-PLMN/MRBTS-612481/LNBTS-612481,2024-02-13 21:54:27,,7657,BASE STATION CONNECTIVITY DEGRADED,Setup of X2 connectivity to gNB failed
BOG.Chico Norte-2,BOG.Chico Norte-2,PLMN-PLMN/MRBTS-1735/LNBTS-1735,2024-02-13 21:29:12,,7412,EXTERNAL AL 12.,OVP Paralelo Lower
BOG.Atavanza,BOG.Atavanza,PLMN-PLMN/MRBTS-2665/LNBTS-2665/LNADJGNB-0,2024-02-13 15:49:06,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.IND Fundacion Santafe-4,BOG.IND Fundacion Santafe-4,PLMN-PLMN/MRBTS-9348/LNBTS-9348/LNADJGNB-0,2024-02-07 14:59:42,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Cataluna-2,BOG.Cataluna-2,PLMN-PLMN/MRBTS-1889/LNBTS-1889/LNADJGNB-0,2024-02-10 12:54:48,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Britalia-2,BOG.Britalia-2,PLMN-PLMN/MRBTS-645/LNBTS-645,2024-02-14 04:41:54,,7657,BASE STATION CONNECTIVITY DEGRADED,Setup of X2 connectivity to gNB failed
BOG.Umb,BOG.Umb,PLMN-PLMN/MRBTS-515/LNBTS-515/LNCEL-151,2024-02-14 00:13:19,,7654,CELL OPERATION DEGRADED,RF Module failure
BOG.Umb,BOG.Umb,PLMN-PLMN/MRBTS-515/LNBTS-515/LNCEL-151,2024-02-14 00:13:29,,7655,CELL NOTIFICATION,Transmission path failure
BOG.Corferias-4,BOG.Corferias-4,PLMN-PLMN/MRBTS-2292/LNBTS-2292/LNADJGNB-0,2024-02-08 13:01:07,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Bonanza-2,BOG.Bonanza-2,PLMN-PLMN/MRBTS-621/LNBTS-621/LNADJGNB-0,2024-02-10 10:56:01,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BAR.Caridad del Cobre,BAR.Ciudad Jardin,PLMN-PLMN/MRBTS-786729/LNBTS-786729,2024-02-10 11:15:05,,7112,BASE STATION CONFIGURATION PROBLEM,Inter eNB CA parameter(s) inconsistency in between eNBs
BAR.Caridad del Cobre,BAR.Ciudad Jardin,PLMN-PLMN/MRBTS-786729/LNBTS-786729/LNADJGNB-0,2024-02-10 11:18:45,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BAR.Ciudad Jardin,BAR.Ciudad Jardin,PLMN-PLMN/MRBTS-786729/LNBTS-786729,2024-02-10 11:15:05,,7112,BASE STATION CONFIGURATION PROBLEM,Inter eNB CA parameter(s) inconsistency in between eNBs
BAR.Ciudad Jardin,BAR.Ciudad Jardin,PLMN-PLMN/MRBTS-786729/LNBTS-786729/LNADJGNB-0,2024-02-10 11:18:45,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.1 de Mayo,CAL.1 de Mayo,PLMN-PLMN/MRBTS-613702/LNBTS-613702/LNADJGNB-0,2024-02-11 15:20:49,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Periodistas-1,BOG.Periodistas-1,PLMN-PLMN/MRBTS-7730/LNBTS-7730/LNADJGNB-0,2024-02-07 13:30:22,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.Unicentro,CAL.Unicentro,PLMN-PLMN/MRBTS-612185/LNBTS-612185/LNADJGNB-0,2024-02-10 13:25:58,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
