Date,Site,NR_5152a,cluster
2024-02-19 16:00:00,BOG.Plaza Claro-2,80.41237113402062,BOG
2024-02-19 16:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 16:00:00,BOG.Andino-2,65.6591099916037,BOG
2024-02-19 16:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 16:00:00,BOG.Andino-1,96.05752140895136,BOG
2024-02-19 16:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 16:00:00,BOG.Royal-3,0.0,BOG
2024-02-19 16:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 17:00:00,BOG.Lourdes-1,72.2488038277512,BOG
2024-02-19 17:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 17:00:00,BOG.San Rafael Industrial,88.98887047122898,BOG
2024-02-19 17:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 17:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 17:00:00,BOG.Royal-3,0.0,BOG
2024-02-19 17:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 17:00:00,BOG.Plaza Claro-1,95.84937954642704,BOG
2024-02-19 17:00:00,BOG.Pepe Sierra,96.12962962962963,BOG
2024-02-19 17:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 17:00:00,BOG.Andino-2,32.21188260558339,BOG
2024-02-19 17:00:00,BOG.Calle 122,95.20370370370372,BOG
2024-02-19 18:00:00,BOG.Pepe Sierra,95.35185185185183,BOG
2024-02-19 18:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 18:00:00,BOG.Tequendama,93.56282271944924,BOG
2024-02-19 18:00:00,BOG.Plaza Claro-2,92.88256227758008,BOG
2024-02-19 18:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 18:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 18:00:00,BOG.Royal-3,0.0,BOG
2024-02-19 18:00:00,BOG.Plaza Claro-3,45.39877300613497,BOG
2024-02-19 18:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 18:00:00,BOG.Chico Reservado,94.11962365591398,BOG
2024-02-19 18:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 18:00:00,BOG.Plaza Claro-1,93.93339927464557,BOG
2024-02-19 19:00:00,BOG.Lourdes-1,92.9074074074074,BOG
